Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	RMSE	normalized_time	norm_diam	nodes_norm	edges_norm	quant_ratio	nod_edg	combined_score2
FALSE	FALSE	FALSE	TRUE	one	vanilla	one_step	FALSE	4	NA	NA	NA	Network472	3.46	11.98	97	205	1	0.106	9	0.082	7	6	NA	40	25	vanilla_one_step	15.440000000000001	0.78	0.41	94.28090415820634	0.01097112972792451	0.375	0.5987654320987654	0.26938239159001315	0.12195121951219512	0.47317073170731705	0.8122813838105127
TRUE	TRUE	TRUE	FALSE	three	vanilla	two_step	NA	NA	NA	2;2;FALSE	NA	Network3321	79.8	6.09	56	133	1	0.108	7	0.053	0	4	NA	22	14	vanilla_two_step	85.89	0.87	0.38	73.02967433402215	0.06103046193856452	0.2916666666666667	0.345679012345679	0.1747700394218134	0.10526315789473684	0.42105263157894735	0.8122588198929889
TRUE	TRUE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	4;1;TRUE	NA	Network1909	59.06	12.36	67	163	1	0.088	9	0.09	7	6	NA	36	28	vanilla_one_step	71.42	0.81	0.38	86.60254037844386	0.050748580645619726	0.375	0.41358024691358025	0.21419185282522996	0.17177914110429449	0.4110429447852761	0.8122398544230233
TRUE	FALSE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;2;TRUE	NA	Network2067	40.2	22.13	69	178	1	0.082	10	0.088	3	5	NA	31	23	vanilla_one_step	62.33	0.81	0.38	86.60254037844386	0.044289541187923234	0.4166666666666667	0.42592592592592593	0.23390275952693823	0.12921348314606743	0.38764044943820225	0.8120821666687824
TRUE	TRUE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	3;3;TRUE	NA	Network2469	76.2	488.4	90	273	1	0.083	11	0.032	1	6	NA	53	32	vanilla_one_step	564.6	0.81	0.38	86.60254037844386	0.4011852230820064	0.4583333333333333	0.5555555555555556	0.3587385019710907	0.11721611721611722	0.32967032967032966	0.8120376806583239
FALSE	FALSE	FALSE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;TRUE	NA	Network2368	20.02	5.46	50	88	1	0.052	8	0.079	3	5	NA	20	10	vanilla_two_step	25.48	0.88	0.41	71.80703308172536	0.018105206312662988	0.3333333333333333	0.30864197530864196	0.11563731931668857	0.11363636363636363	0.5681818181818182	0.8118638072223159
TRUE	FALSE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;2;TRUE	NA	Network2071	45.73	23.76	69	179	1	0.084	10	0.088	3	5	NA	31	23	vanilla_one_step	69.49	0.81	0.38	86.60254037844386	0.049377189429629154	0.4166666666666667	0.42592592592592593	0.2352168199737188	0.12849162011173185	0.3854748603351955	0.8117037055032735
FALSE	TRUE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	3;2;FALSE	NA	Network3422	65.34	6.22	71	125	1	0.084	9	0.083	6	5	NA	23	15	vanilla_three_step	71.56	0.82	0.41	84.01680504168058	0.05084805980118381	0.375	0.4382716049382716	0.164257555847569	0.12	0.568	0.8113303880397633
FALSE	TRUE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3662	69.69	8.07	47	81	1	0.074	8	0.082	3	5	NA	18	9	vanilla_three_step	77.75999999999999	0.88	0.41	70.71067811865476	0.05525356526187887	0.3333333333333333	0.29012345679012347	0.10643889618922471	0.1111111111111111	0.5802469135802469	0.8111715091698465
TRUE	FALSE	FALSE	TRUE	three	vanilla	three_step	NA	NA	NA	1;2;TRUE	NA	Network1975	17.82	29.03	76	294	1	0.12	9	0.098	5	5	NA	49	37	vanilla_three_step	46.85	0.86	0.35	76.89765639525623	0.03328998884412327	0.375	0.4691358024691358	0.38633377135348224	0.12585034013605442	0.2585034013605442	0.8107671722992025
