Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	TP	FP	TN	RMSE
TRUE	FALSE	TRUE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network67	16.6	1.25	43	96	1	0.06	4	0.07	3	3	4	19	16	inverse	17.85	0.73	0.24	8	3	26	104.44659357341871
FALSE	FALSE	TRUE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network68	12.17	1.2	29	58	1	0.116	3	0.097	2	2	3	7	5	inverse	13.37	0.83	0.29	10	2	24	81.64965809277261
TRUE	TRUE	FALSE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network69	17.62	1.21	43	96	1	0.06	4	0.07	3	3	4	19	16	inverse	18.83	0.73	0.24	8	3	26	104.44659357341871
FALSE	TRUE	FALSE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network70	12.78	0.89	29	58	1	0.116	3	0.097	2	2	3	7	5	inverse	13.67	0.83	0.29	10	2	24	81.64965809277261
TRUE	FALSE	FALSE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network71	18.07	1.13	43	96	1	0.06	4	0.07	3	3	4	19	16	inverse	19.2	0.73	0.24	8	3	26	104.44659357341871
FALSE	FALSE	FALSE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network72	13.52	0.96	29	58	1	0.116	3	0.097	2	2	3	7	5	inverse	14.48	0.83	0.29	10	2	24	81.64965809277261
TRUE	TRUE	TRUE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network73	16.07	0.9	53	120	1	0	3	0.055	2	2	3	15	12	inverse	16.97	0.82	0.41	14	3	20	84.01680504168058
FALSE	TRUE	TRUE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network74	11.54	0.75	37	65	1	0	3	0.108	2	2	3	9	8	inverse	12.29	0.88	0.41	14	2	20	70.71067811865476
TRUE	FALSE	TRUE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network75	16.25	0.96	53	120	1	0	3	0.055	2	2	3	15	12	inverse	17.21	0.82	0.41	14	3	20	84.01680504168058
FALSE	FALSE	TRUE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network76	11.94	0.81	37	65	1	0	3	0.108	2	2	3	9	8	inverse	12.75	0.88	0.41	14	2	20	70.71067811865476
TRUE	TRUE	FALSE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network77	17.23	1.07	53	120	1	0	3	0.055	2	2	3	15	12	inverse	18.3	0.82	0.41	14	3	20	84.01680504168058
FALSE	TRUE	FALSE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network78	12.33	0.77	37	65	1	0	3	0.108	2	2	3	9	8	inverse	13.1	0.88	0.41	14	2	20	70.71067811865476
TRUE	FALSE	FALSE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network79	17.69	0.99	53	120	1	0	3	0.055	2	2	3	15	12	inverse	18.68	0.82	0.41	14	3	20	84.01680504168058
