UNIPROT	gene_name	significant	logpval	difference
Q8CFJ7	Slc25a45	NA	0.849279	NA
Q8CFJ9	Wdr24	NA	0.849106	NA
Q8CFK6	Dennd1c	NA	0.848933	NA
Q8CFQ3	Aqr	NA	0.910033	0.0270004
Q8CFV9	Rfk	NA	0.84876	0.00441678
Q8CG46	Smc5	NA	0.983653	-0.016573
Q8CG47	Smc4	+	0.0970914	-0.331037
Q8CG48	Smc2	NA	0.18756	-0.15955
Q8CG50	Rab43	NA	0.848587	1.17166
Q8CGA0	Ppm1f	+	0.0387753	0.365524
Q8CGA3	Slc43a2	NA	0.848242	NA
Q8CGC4	Lsm14b	+	0.00191736	-0.87932
Q8CGC6	Rbm28	+	0.0475005	-1.27878
Q8CGC7	Eprs	NA	0.564674	-0.0717545
Q8CGF7	Tcerg1	NA	0.874053	0.0531209
Q8CGK3	Lonp1	NA	0.280185	0.288529
Q8CGY8	Ogt	+	0.0553248	-0.423244
Q8CH02	Sugp1	NA	0.848069	0.0499465
Q8CH18	Ccar1	+	0.0105235	0.592841
Q8CH25	Sltm	NA	1	0.0155602
Q8CH72	Trim32	NA	0.847897	NA
Q8CH77	Nav1	NA	1	0
Q8CHI8	Ep400	NA	0.115841	0.358637
Q8CHK3	Mboat7	NA	0.847724	NA
Q8CHK4	Kat5	+	0.047439	0.43787
Q8CHP8	Pgp	NA	0.426124	0.14776
Q8CHQ0	Fbxo4	NA	0.847552	0.551828
Q8CHS8	Vps37a	NA	0.847379	NA
Q8CHT0	Aldh4a1	+	0.0402064	0.631874
Q8CHT3	Ints5	NA	0.160856	0.289324
Q8CHW4	Eif2b5	NA	0.694904	-0.0853202
Q8CI11	Gnl3	+	0.0584975	-0.350096
Q8CI32	Bag5	NA	0.795073	-0.0673962
Q8CI33	Cwf19l1	NA	1	0.00122007
Q8CI51	Pdlim5	NA	0.119156	-0.313077
Q8CI59	Steap3	NA	0.140291	-0.404257
Q8CI70	Lrrc20	NA	0.72023	-0.105567
Q8CI75	Dis3l2	NA	0.25251	0.231897
Q8CI94	Pygb	+	0.0102932	0.556123
Q8CIB9	Esco2	NA	0.847035	NA
Q8CIE4	Parp10	+	0.0994278	0.562561
Q8CIE6	Copa	NA	0.848904	0.0503095
Q8CIG3	Kdm1b	NA	0.846863	NA
Q8CIG8	Prmt5	+	0.0388107	-0.474339
Q8CIG9	Fbxl8	NA	0.54366	0.170445
Q8CIH5	Plcg2	NA	0.239268	0.222876
Q8CIH9	Ppat	+	0.0388526	-0.353626
Q8CII2	Cdc123	NA	0.846691	-0.843963
Q8CIM8	Ints4	+	0.0689055	0.310754
Q8CIN4	Pak2	NA	0.598696	-0.104937
Q8CIV8	Tbce	+	0.021743	0.560357
Q8CJ40	Crocc	NA	0.846347	NA
Q8CJ53	Trip10	NA	1	0.0117327
Q8CJF7	Ahctf1	NA	0.634891	0.0997295
Q8CJG0	Ago2	NA	0.766039	0.0862897
Q8CJG1	Ago1	NA	0.846175	NA
Q8JZK9	Hmgcs1	+	0.0028642	-2.42229
Q8JZL3	Thtpa	NA	0.846003	0.28648
Q8JZM0	Tfb1m	+	0.005712	0.65793
Q8JZM7	Cdc73	NA	0.740151	-0.116084
Q8JZN5	Acad9	+	0.00816807	0.555076
Q8JZN7	Rhot2	NA	0.151732	0.3223
Q8JZQ2	Afg3l2	NA	0.461887	0.240023
Q8JZQ9	Eif3b	+	0.0220764	-0.390246
Q8JZR0	Acsl5	+	0.0235224	0.37783
Q8JZS6	N4bp2l2	NA	0.845832	NA
Q8JZS9	Mrpl48	NA	0.84566	-0.328637
Q8JZU2	Slc25a1	+	0.0969459	0.648848
Q8JZV7	Amdhd2	+	0.0592239	0.468373
Q8JZX4	Rbm17	NA	0.285963	0.19253
Q8JZY2	Commd10	NA	0.323887	-0.27351
Q8K019	Bclaf1	NA	0.888861	0.0285333
Q8K021	Scamp1	NA	0.915624	-0.0849816
Q8K045	Pkn3	NA	0.845488	NA
Q8K0C1	Ipo13	NA	0.845317	-0.13092
Q8K0C9	Gmds	NA	0.901935	0.0573133
Q8K0D0	Cdk17	NA	0.471099	0.18166
Q8K0D5	Gfm1	NA	0.331461	-0.679663
Q8K0F1	Tbc1d23	+	0.0104729	0.57931
Q8K0H5	Taf10	NA	0.845145	-0.0541496
Q8K0Q5	Arhgap18	NA	0.844803	1.12067
Q8K0V4	Cnot3	NA	0.110135	0.426324
Q8K0Y7	Paxx	NA	1	0
Q8K0Z7	Taco1	NA	0.844632	0.661655
