UNIPROT	gene_name	significant	logpval	difference
Q8VDZ4	Zdhhc5	NA	0.830824	NA
Q8VE10	Naa40	+	0.0203864	-0.438596
Q8VE11	Mtmr6	NA	1	0
Q8VE18	Smg8	NA	0.535429	0.16236
Q8VE19	Mios	+	0.00590747	0.601387
Q8VE22	Mrps23	NA	0.153621	0.3153
Q8VE38	Oxnad1	NA	0.830658	0.617786
Q8VE47	Uba5	NA	0.833486	0.0738405
Q8VE70	Pdcd10	NA	0.234505	0.176294
Q8VE80	Thoc3	NA	0.814881	0.0504328
Q8VE88	Fam114a2	NA	0.667047	-0.141753
Q8VE99	Ccdc115	NA	0.830493	NA
Q8VEA4	Chchd4	NA	0.830327	NA
Q8VEB4	Pla2g15	+	0.0653463	0.800161
Q8VED2	Bloc1s4	NA	0.667019	-0.0875721
Q8VED9	Lgalsl	NA	0.829996	NA
Q8VEE0	Rpe	NA	0.182541	0.355783
Q8VEG6	Cnot6l	NA	0.647317	0.145873
Q8VEH5	Epm2aip1	NA	0.471435	-0.166326
Q8VEH6	Cbwd1	+	0.0574567	-0.348167
Q8VEH8	Erlec1	+	0.0396722	0.675597
Q8VEJ4	Nle1	NA	0.178222	-0.261466
Q8VEJ9	Vps4a	NA	0.174296	0.303877
Q8VEK3	Hnrnpu	+	0.0292605	0.475611
Q8VEK6	Ing3	NA	0.829831	0.485265
Q8VEM8	Slc25a3	NA	0.783042	-0.183046
Q8VH37	Hdac8	+	0.00236735	1.22406
Q8VH51	Rbm39	NA	0.998814	-0.0103607
Q8VHE0	Sec63	NA	0.56918	-0.145749
Q8VHI3	Pofut2	NA	0.390011	0.232557
Q8VHK1	Caskin2	NA	1	0
Q8VHK9	Dhx36	+	0.0238022	-0.345467
Q8VHL1	Setd7	NA	0.720317	0.125697
F7B5B5	Hnrnpr	+	0.0913953	0.2809
Q8VHN8	Nudt16l1	NA	0.924809	0.0439568
Q8VHZ7	Imp4	NA	0.464008	-0.133193
Q8VI33	Taf9	NA	0.829666	0.122587
Q8VI75	Ipo4	+	0.0557957	-0.40343
Q8VI84	Noc3l	NA	0.114832	-0.322103
Q8VI93	Oas3	NA	0.829501	0.786463
Q8VID5	Recql5	NA	0.829336	NA
Q8VIG1	Rest	NA	0.829171	NA
Q8VIJ6	Sfpq	NA	0.893942	0.031498
Q8WTY4	Ciapin1	NA	0.116423	-0.598759
Q91UZ5	Impa2	NA	0.50886	0.185249
Q91V01	Lpcat3	NA	0.829006	0.980629
Q91V04	Tram1	+	0.0474058	0.427604
Q91V08	Clec2d	+	0.0211042	0.830057
Q91V12	Acot7	NA	0.595246	-0.154058
P18052	Ptpra	+	0.0122008	0.747223
Q91V41	Rab14	+	0.021458	0.422966
P97461	Rps5	NA	0.352741	-0.166654
Q91V64	Isoc1	+	0.0100696	0.743864
P56565	S100a1	NA	0.828841	NA
Q91V83	Tti1	NA	0.828676	NA
Q91V89	Ppp2r5d	+	0.0704093	-0.39872
Q91VA6	Poldip2	NA	0.254582	0.273437
Q91VA7	Idh3b	+	0.0214993	0.509744
Q91VC3	Eif4a3	NA	0.7951	-0.0754159
Q91VC9	Ghitm	NA	0.828511	0.167781
Q91VD9	Ndufs1	NA	0.15862	0.207258
Q91VE0	Slc27a4	+	0.0265545	0.832513
Q91VE6	Nifk	+	0.0584795	-0.557706
Q91VH6	Memo1	NA	0.767299	0.0831032
Q91VI7	Rnh1	+	0.00433939	0.802813
Q91VJ1	Aim2	NA	0.946182	0.0314865
Q91VJ4	Stk38	+	0.040344	0.479343
Q91VJ5	Pqbp1	NA	0.395461	-0.24069
Q91VK1	Bzw2	NA	0.874655	-0.0422935
Q91VK4	Itm2c	NA	0.82834700000000006	NA
Q91VL8	Terf2ip	NA	0.828182	0.58907
Q91VM3	Wdr45	NA	0.696803	-0.183987
Q91VM5	Rbmxl1	NA	0.623515	0.0961068
Q91VM9	Ppa2	+	0.0949488	0.40646
Q91VN4	Chchd6	NA	0.737448	0.130847
Q91VN6	Ddx41	NA	1	0.00710932
Q91VR5	Ddx1	NA	0.53753	0.0848802
Q91VR8	Brk1	NA	0.465598	0.168287
Q91VT1	Nsmce2	NA	0.143877	-0.500585
Q91VT4	Cbr4	NA	0.828017	NA
Q91VW3	Sh3bgrl3	NA	0.984146	0.0399176
Q91VW5	Golga4	NA	0.190478	0.334344
Q91VW9	Zkscan3	NA	0.827853	NA
Q91VY5	Kdm4b	NA	0.377376	-0.147967
Q91VZ6	Smap1	NA	0.112638	-0.392226
Q91W18	Tdrd3	NA	0.827689	NA
Q91W36	Usp3	NA	0.348644	-0.23346
Q91W39	Ncoa5	NA	0.585444	0.0953261
Q91W50	Csde1	+	0.00210909	-1.32564
Q91W61	Fbxl15	NA	0.827524	-0.287647
Q91W63	Nmrk1	NA	0.82736	0.466862
Q91W67	Ubl7	NA	0.845267	-0.0821063
Q91W86	Vps11	+	0.037754	0.54875
Q91W96	Anapc4	NA	0.476294	-0.18973
Q91W98	Slc15a4	NA	1	0
Q91WA1	Tipin	+	0.0222013	-1.17841
Q91WB4	Plekhf2	NA	0.827196	NA
Q91WC0	Setd3	NA	0.995257	0.0149946
Q91WD0	Gpr108	NA	0.827032	0.181661
Q91WD1	Polr3d	+	0.0332862	-0.640443
Q91WD5	Ndufs2	NA	0.138211	0.473349
Q91WE1	Snx15	NA	1	0
Q91WE6	Cdkal1	NA	0.826703	0.0708199
Q91WF7	Fig4	NA	0.826539	NA
Q91WG2	Rabep2	NA	0.831025	-0.0630169
Q91WG4	Elp2	NA	0.971177	0.0294336
Q91WI7	Itfg2	NA	0.826376	-0.27038
Q91WK1	Spryd4	NA	0.101137	0.479963
Q91WK2	Eif3h	+	0.0338085	-0.351819
Q91WL8	Wwox	NA	0.537526	0.19884
Q91WM1	Strbp	NA	1	-0.00864347
Q91WM3	Rrp9	+	0.0491582	-0.313583
Q91WN1	Dnajc9	NA	0.378166	0.176233
Q91WQ5	Taf5l	NA	0.289259	0.317619
Q91WR3	Ascc2	NA	1	-0.01102
Q91WS0	Cisd1	NA	0.288369	0.388456
Q91WT4	Dnajc17	NA	0.826048	1.24768
Q91WV0	Dr1	NA	0.825884	0.131775
Q91WZ8	Dtnbp1	NA	0.115995	-0.324943
Q91X52	Dcxr	NA	0.543509	0.210884
Q91X78	Erlin1	NA	0.825721	0.567036
Q91X96	Rabif	NA	0.350735	0.348593
Q91XA2	Golm1	+	0.0173825	-0.721018
Q91XB7	Yif1a	NA	0.459375	0.244465
Q91XC8	Dap	+	0.0243587	0.515813
Q91XC9	Pex16	NA	0.38516	-0.353333
Q91XD6	Vps36	+	0.0585774	0.271453
Q91XE4	Acy3	+	0.0140306	0.806557
Q91XF0	Pnpo	NA	0.944642	0.0291309
Q91XH6	Vti1b	+	0.0106955	-0.44373
Q91XI1	Dus3l	+	0.0311929	0.417674
Q91XL2	Lnx2	NA	0.825557	NA
Q91XL3	Uxs1	NA	0.825394	NA
Q91XL9	Osbpl1a	NA	0.82523	NA
Q91XU0	Wrnip1	+	0.0788794	0.28916
Q91XU3	Pip4k2c	NA	0.173681	0.297603
Q91Y74	St3gal4	NA	0.825067	-0.00714111
Q91YD3	Dcp1a	NA	0.161232	0.16684
Q91YE3	Egln1	NA	0.999193	-0.02027
E9QKZ2	Ipo9	NA	0.476894	0.185258
Q91YE7	Rbm5	NA	0.909807	-0.0686906
Q91YH5	Atl3	+	0.067307	0.249767
Q91YI4	Arrb2	+	0.043865	-0.776603
Q91YJ2	Snx4	NA	0.624798	0.108983
Q91YJ3	Thyn1	NA	0.193056	0.22046
Q91YJ5	Mtif2	NA	0.112302	0.643962
Q91YK2	Rrp1b	NA	1	0.0194664
Q91YL2	Rnf126	NA	0.276455	-0.194293
Q91YL3	Uckl1	NA	0.824903	NA
Q91YM4	Tbrg4	NA	0.852931	0.0528698
Q9JIB4	Gtf2h2	NA	0.488742	-0.222607
Q91YN9	Bag2	NA	0.413333	-0.16011
Q91YP0	L2hgdh	+	0.061792	0.790244
Q91YP2	Nln	+	0.025534	0.623653
Q91YP3	Dera	NA	0.580965	0.17902
Q91YQ5	Rpn1	NA	0.876555	-0.045667
Q91YR1	Twf1	NA	1	0.0137177
Q91YR7	Prpf6	+	0.0859534	0.228927
Q91YR9	Ptgr1	+	0.00428743	0.561893
Q91YT7	Ythdf2	+	0.00515556	-1.02743
Q91YU8	Ppan	NA	0.51967699999999994	-0.270039
Q91YW3	Dnajc3	+	0.0598412	0.237487
Q91YY4	Atpaf2	+	0.00486792	0.547884
P56546	Ctbp2	NA	0.694553	0.136394
Q9WV32	Arpc1b	+	0.0925864	0.23466
Q91Z31	Ptbp2	NA	0.588518	-0.356231
Q91Z38	Ttc1	NA	0.82474	NA
Q91Z40	Gbp7	+	0.0751254	0.593067
Q8C952	Fen1	NA	0.416522	0.171413
Q91Z53	Grhpr	NA	0.684488	-0.17944
Q91Z67	Srgap2	NA	0.632742	-0.0918967
Q9Z2F7	Bnip3l	NA	0.824577	NA
Q91Z92	B3galt6	NA	0.824414	NA
Q91Z96	Bmp2k	NA	0.24932000000000001	-0.25533
Q91ZA3	Pcca	+	0.0301937	0.588566
Q91ZE0	Tmlhe	NA	0.824251	NA
Q91ZJ5	Ugp2	NA	0.688982	-0.115056
Q91ZR1	Rab4b	+	0.0835666	0.309583
Q91ZU1	Asb6	NA	0.824088	-0.952266
Q91ZW3	Smarca5	NA	0.323791	-0.138684
Q920A5	Scpep1	NA	0.101231	0.469447
Q920A7	Afg3l1	NA	0.265498	-0.254156
Q920E5	Fdps	NA	0.129061	-0.561937
Q920I9	Wdr7	NA	0.360059	0.155446
Q920L1	Fads1	+	0.0314807	-0.744684
Q920N2	Hlcs	NA	1	0
Q920Q6	Msi2	+	0.0403654	0.46996
Q920Q8	Ivns1abp	NA	0.823925	NA
Q921C5	Bicd2	+	0.00594982	-0.669827
Q921D4	Med6	NA	1	0
Q921E6	Eed	+	0.0315172	-0.57567
Q921F2	Tardbp	NA	0.543643	0.14539
Q921F4	Hnrnpll	NA	0.174131	0.259163
Q921G8	Tubgcp2	NA	0.361985	0.17776
Q921H8	Acaa1a	+	0.0216436	0.524637
Q921H9	Coa7	NA	0.949455	-0.02871
Q921I9	Exosc4	NA	0.154826	0.282036
Q921J2	Rheb	+	0.0834579	-0.616197
Q921J4	Ube2s	NA	0.823762	-2.24834
Q921K2	Parp1	NA	0.26809	0.178761
Q921L5	Cog2	NA	0.335037	0.188187
Q921L7	Hemk1	NA	1	0
Q921M3	Sf3b3	NA	0.831285	-0.0547333
Q921N6	Ddx27	+	0.00732143	-0.542463
Q921N8	Gps2	NA	0.823599	-0.107674
Q921Q3	Alg1	NA	0.823436	NA
Q921S7	Mrpl37	NA	0.504346	0.130243
Q921T2	Tor1aip1	NA	0.946386	0.0496699
Q921V5	Mgat2	+	0.0265789	-0.563384
Q921W0	Chmp1a	NA	0.257993	0.31638
Q921W4	Cryzl1	NA	0.556801	-0.134373
Q921X6	Polr3f	NA	0.585218	0.11727
Q921X9	Pdia5	+	0.0314605	0.46419
Q921Y0	Mob1a	NA	0.138759	-0.345987
Q921Y2	Imp3	NA	0.766491	0.0782331
Q921Y4	Mfsd5	NA	0.823274	NA
Q922B1	Macrod1	+	0.0098861	0.703702
Q922B2	Dars	NA	0.766148	0.0721766
Q922D8	Mthfd1	+	0.0313778	-0.279084
Q922E6	Fastkd2	NA	0.823111	0.0548801
Q922F4	Tubb6	+	0.0459095	-0.339563
Q922H1	Prmt3	NA	0.618187	0.110783
Q922H2	Pdk3	NA	0.261533	0.369073
Q922H4	Gmppa	NA	0.800584	-0.0817115
Q922J9	Far1	+	0	-1.98043
Q922M5	Cdca7l	NA	0.822949	-0.0719757
Q922Q2	Riok1	NA	0.301639	-0.231104
Q922Q4	Pycr2	+	0.0232578	0.65237
Q922Q8	Lrrc59	NA	0.583333	-0.140788
Q922Q9	Chid1	+	0.0310893	0.888078
Q922R8	Pdia6	NA	0.858359	0.0561968
Q922S8	Kif2c	+	0.00738739	-1.07017
Q922T2	Mfap3	NA	0.822461	NA
Q922U1	Prpf3	NA	0.276013	0.207443
Q922W5	Pycr1	+	0.0421132	0.838077
Q922X9	Prmt7	+	0.0503795	-0.471213
Q922Y1	Ubxn1	NA	0.952484	-0.0333036
Q923A2	Spdl1	NA	0.822299	NA
Q62073	Map3k7	NA	0.822137	NA
Q923B1	Dbr1	NA	0.980771	-0.0248763
Q923D2	Blvrb	+	0.011112	0.630353
Q923D4	Sf3b5	+	0.060142	-0.49632
Q923D5	Wbp11	+	0.057295	-0.3218
Q923F1	Clns1a	NA	0.253225	-0.356283
Q923G2	Polr2h	NA	0.946228	0.0473948
Q923T9	Camk2g	+	0.00608874	0.51785
Q8BZR6	Tom1l1	+	0.0994959	0.196634
Q923W1	Tgs1	+	0.0290387	-0.843481
Q923X4	Glrx2	NA	1	0
Q924A2	Cic	NA	0.949471	0.0219351
A0A0A6YW07	Impa1	NA	0.885687	0.0527534
Q924C1	Xpo5	+	0.0135913	-0.548349
Q924D0	Rtn4ip1	+	0.0510917	0.728476
Q924H7	Wac	+	0.0336077	-0.401947
Q924L1	Letmd1	NA	0.111913	0.557604
Q924M7	Mpi	NA	0.873681	0.0504004
Q924N4	Slc12a6	NA	0.821975	-0.161011
Q924T2	Mrps2	NA	0.821813	0.345891
Q924T7	Rnf31	NA	0.171796	0.28967
Q924W5	Smc6	NA	0.900926	-0.06556
Q924Z4	Cers2	NA	0.191776	-0.43237
Q924Z6	Xpo6	NA	0.821651	-0.212971
Q925E7	Ppp2r2d	NA	0.821489	NA
Q925J9	Med1	NA	0.684435	-0.0715669
Q93092	Taldo1	NA	0.321803	0.318354
Q99020	Hnrnpab	NA	0.4173	-0.555736
Q99104	Myo5a	NA	0.149812	-0.2483
Q99J08	Sec14l2	+	0.00644595	0.874167
Q99J09	Wdr77	NA	0.129173	-0.34627
Q99J10	Ctu1	NA	0.498834	0.126623
Q99J25	Mrm1	NA	1	0
Q99J27	Slc33a1	NA	0.821327	-0.0504599
Q99J36	Thumpd1	NA	0.667392	0.11073
Q99J39	Mlycd	NA	0.821165	0.312819
Q99J45	Nrbp1	NA	0.957276	0.0236702
Q99J47	Dhrs7b	NA	0.151783	0.36642
Q99J56	Derl1	NA	0.187689	0.48124
Q99J64	Rbm43	+	0.0265273	0.570402
Q99J77	Nans	+	0.0562649	0.286787
Q99J79	Ddb2	NA	0.583981	0.143897
Q99J83	Atg5	NA	0.821003	-0.00747744
Q99J93	Ifitm2	NA	1	0
Q99J95	Cdk9	+	0.0896325	-0.30208
Q99JB2	Stoml2	NA	0.413076	0.227186
Q99JF5	Mvd	NA	0.820841	-0.130658
Q99JF8	Psip1	+	0.0859259	-0.376394
Q99JH1	Rpp25l	NA	0.64523	-0.134437
Q99JI4	Psmd6	NA	0.172873	0.189107
Q99JI6	Rap1b	NA	0.201721	-0.319863
Q99JP6	Homer3	NA	0.82068	0.59971
Q99JP7	Ggt7	NA	0.116734	0.35035
Q99JR1	Sfxn1	NA	0.467198	0.197774
Q99JR8	Smarcd2	NA	0.191977	0.201623
Q99JT2	Stk26	NA	0.257491	-0.334164
Q99JT9	Adi1	+	0.0154684	0.537283
Q99JV5	Stard4	NA	0.820518	NA
Q99JW2	Acy1	NA	0.514805	0.183156
Q99JW4	Lims1	+	0.0534633	0.410544
Q99JX4	Eif3m	NA	1	-0.00454394
Q99JX7	Nxf1	NA	1	0.0140298
Q99JY0	Hadhb	+	0.0219974	0.442542
Q99JY9	Actr3	NA	0.312668	0.123376
Q99JZ4	Sar1a	NA	0.259868	-0.227051
Q99K01	Pdxdc1	NA	0.983878	0.0223834
Q99K23	Ufsp2	+	0.0494202	0.253977
Q99K28	Arfgap2	NA	0.473084	-0.28343
Q99K41	Emilin1	NA	1	0
Q99K46	Usp11	NA	0.820357	0.945278
Q99K48	Nono	NA	0.200895	-0.87505
Q99K70	Rragc	+	0.0479892	0.437396
Q9WU00	Nrf1	NA	1	0
Q99K74	Med24	NA	0.379937	0.126881
Q99K85	Psat1	NA	1	-0.0076828
Q99K90	Tab2	+	0.0170124	-0.52856
Q99KC8	Vwa5a	+	0.00207143	0.93764
Q99KD5	Unc45a	NA	0.250473	-0.50295
Q99KE1	Me2	+	0.0146667	0.381774
Q99KF1	Tmed9	+	0.0311235	0.630987
Q99KG3	Rbm10	NA	1	-0.00622304
Q99KH8	Stk24	NA	0.635166	0.334199
Q99KI0	Aco2	+	0.00669307	0.5062
Q99KI3	Emc3	+	0.0303847	0.461294
Q99KJ8	Dctn2	NA	0.281786	-0.261347
Q99KK2	Cmas	+	0.0729892	0.460804
Q99KK7	Dpp3	NA	0.196939	0.168709
Q99KK9	Hars2	+	0.0164409	1.13752
Q99KN1	Arrdc1	+	0.095166	0.473733
Q99KN2	Ciao1	NA	0.81484	0.0689233
Q99KP3	Cryl1	NA	0.169582	0.529203
Q99KP6	Prpf19	NA	0.164164	-0.269844
Q99KQ4	Nampt	NA	0.726314	0.0705433
Q99KR3	Lactb2	NA	0.929484	0.0518538
Q99KR7	Ppif	+	0.0558433	0.625624
Q99KR8	Fuca2	NA	0.820195	NA
Q99KS2	Ngrn	NA	0.820034	NA
Q99KS6	Adprm	NA	0.819873	NA
Q99KU0	Vmp1	NA	0.819711	0.85728
Q99KV1	Dnajb11	NA	1	0.0122528
Q99KW3	Triobp	NA	0.81955	NA
Q99KX1	Mlf2	NA	0.819389	NA
Q99KY4	Gak	+	0.0111758	0.43138
Q99L00	Haus8	NA	0.819228	-0.0592642
Q99L04	Dhrs1	+	0.00391257	0.958133
Q99L13	Hibadh	+	0.0390247	0.601746
Q99L20	Gstt3	NA	0.819067	0.49111900000000003
Q99L27	Gmpr2	+	0.0810348	0.364939
Q99L45	Eif2s2	NA	0.623871	-0.0865828
Q99L47	St13	NA	0.168786	-0.330937
Q99L48	Nmd3	+	0.0228277	-0.509027
Q99L85	Elp5	NA	0.818906	-0.626116
Q99LB0	Dnttip1	NA	0.573439	0.139227
Q99LB2	Dhrs4	+	0.00603636	0.577206
Q3TNN6	Capg	NA	0.580996	-0.212339
Q99LB6	Mat2b	+	0.0214876	0.558744
Q99LC2	Cstf1	NA	0.201856	0.23462
Q99LC3	Ndufa10	+	0.0537759	0.696954
Q99LC5	Etfa	+	0.030052100000000002	0.55312
Q99LC8	Eif2b1	NA	0.132428	-0.180113
Q99LC9	Pex6	NA	0.464326	0.155433
Q99LD9	Eif2b2	NA	0.971397	-0.0312907
Q99LE1	Rilpl2	NA	0.818745	NA
Q99LE6	Abcf2	+	0.0159046	-0.582837
Q99LF4	Rtcb	NA	0.688213	0.0671005
Q99LG0	Usp16	NA	0.627962	-0.114677
Q99LG2	Tnpo2	NA	0.279611	0.228104
Q99LG4	Ttc5	+	0.0571404	0.405122
Q99LH1	Gnl2	+	0.00615517	-0.680563
Q99LI7	Cstf3	+	0.0483405	0.248154
Q99LI9	Clp1	NA	0.389825	0.139004
Q99LJ1	Fuca1	NA	0.818423	1.38343
Q99LJ2	Abtb1	NA	0.818263	NA
Q99LL3	Chst12	+	0.00609009	1.49229
Q99LL5	Pwp1	NA	0.291393	-0.211486
Q99LM2	Cdk5rap3	NA	0.468229	0.13793
Q99LM9	Tada1	NA	0.818102	-0.186038
Q99LN9	Dohh	+	0	-1.80239
Q99LP6	Grpel1	NA	0.132756	-0.242527
Q99LR1	Abhd12	+	0.00601449	0.706023
Q99LT0	Dpy30	NA	0.817942	NA
Q99LX0	Park7	NA	0.595266	0.122687
Q99LY9	Ndufs5	+	0.0159746	0.590027
Q99LZ3	Gins4	NA	0.441916	-0.239843
Q99M01	Fars2	NA	0.136068	0.445166
Q99M03	Rwdd2b	NA	0.817781	NA
Q99M04	Lias	+	0.0923631	-0.426103
Q99M15	Pstpip2	+	0.00756923	0.71317
Q99M31	Hspa14	NA	0.858165	-0.0649026
P97760	Polr2c	NA	0.855827	0.0498689
Q99M51	Nck1	NA	0.737042	0.0845623
Q99M71	Epdr1	NA	0.270964	0.397027
Q99M87	Dnaja3	NA	0.699975	0.126207
Q99M96	St7	NA	0.946748	0.0278724
Q99MD6	Txnrd3	NA	0.817621	0.29015
Q99ME2	Wdr6	NA	0.211606	-0.280221
Q99ME9	Gtpbp4	+	0.00605839	-0.656453
Q99MJ9	Ddx50	NA	0.845305	0.0865892
Q99ML1	Bbc3	NA	1	0
Q99MN1	Kars	NA	0.112398	-0.210189
Q99MP8	Brap	NA	0.81746	NA
Q99MR1	Gigyf1	NA	1	0
Q99MR3	Slc12a9	NA	0.8173	0.768529
Q99MR6	Srrt	NA	0.862834	0.0547371
Q99MR8	Mccc1	+	0.00190164	0.999914
Q99MU3	Adar	NA	0.140424	-0.49196
Q99N17	Cyp4f16	NA	0.81714	0.982939
Q99N57	Raf1	NA	0.900748	-0.0444393
Q99N69	Lpxn	NA	0.950603	0.0387065
A2AE94	Sytl1	NA	0.816979	0.675987
Q99N84	Mrps18b	NA	0.816819	-0.21278
Q99N87	Mrps5	NA	0.830669	0.10049
Q99N92	Mrpl27	NA	0.816659	NA
Q99N93	Mrpl16	NA	0.816499	0.127426
Q99N94	Mrpl9	NA	0.136063	0.28005
Q99N95	Mrpl3	NA	0.790715	0.0853233
Q99N96	Mrpl1	NA	0.816339	-0.108966
Q99NB8	Ubqln4	NA	0.675453	-0.120309
P36993	Ppm1b	NA	0.519552	0.203194
Q99NF8	Ranbp17	NA	0.816179	NA
Q99NH0	Ankrd17	+	0.021108	-1.06422
Q99P30	Nudt7	NA	0.81602	NA
Q99P31	Hspbp1	NA	0.875845	-0.0409266
Q99P69	Nuf2	+	0.0059823	-1.04782
Q99P72	Rtn4	NA	1	-0.00136058
Q99P88	Nup155	+	0.0925431	0.267483
Q99PG2	Ogfr	NA	0.676398	-0.148617
Q99PG4	Rgs18	NA	0.597082	0.166074
Q99PL6	Ubxn6	NA	0.229614	0.319963
Q99PM3	Gtf2a1	NA	0.81586	-0.284479
Q99PM9	Uck2	+	0.0194702	-0.650127
Q99PT1	Arhgdia	NA	0.199139	-0.291263
Q99PT3	Ino80b	NA	0.8157	NA
Q99PU7	Bap1	NA	0.129425	0.237987
Q99PU8	Dhx30	NA	1	-0.00364367
Q99PV0	Prpf8	NA	0.641554	0.0880343
Q9CPP0	Npm3	NA	0.436473	-0.8427
Q9CPP6	Ndufa5	NA	0.815541	0.5408
Q9CPQ1	Cox6c	NA	0.815381	0.4031
Q9CPQ3	Tomm22	NA	0.815221	NA
Q9CPQ8	Atp5l	NA	0.675341	0.11336
Q9CPR5	Mrpl15	NA	0.621067	0.0831715
Q9CPR7	Sike1	NA	0.941944	0.0346152
Q9CX56	Psmd8	NA	0.64938	-0.18291
Q9CPS6	Hint3	NA	0.814903	NA
Q9CPS7	Pno1	NA	0.310615	-0.28087
Q9CPT3	Nanp	NA	0.413499	0.355843
Q9CPT4	Mydgf	NA	0.814743	NA
Q9CPU0	Glo1	NA	1	0.00112025
Q9CPV3	Mrpl42	NA	0.497681	0.316606
Q9CPV4	Glod4	NA	0.211905	0.322623
Q9CPV5	Pmf1	NA	0.570051	-0.12534
Q9CPV7	Zdhhc6	NA	0.814584	0.164595
Q9CPW3	Mrpl54	NA	0.814266	0.347542
Q9CPW4	Arpc5	NA	0.793661	-0.0981032
Q9CPW7	Zmat2	NA	0.685632	-0.116054
Q9CPX6	Atg3	NA	0.814107	NA
Q9CPX7	Mrps16	NA	1	-0.00568644
Q9CPY6	Gid4	NA	0.813789	NA
Q9CPY7	Lap3	NA	0.848851	-0.0436605
Q9CPZ6	Ormdl3	NA	0.81363	NA
Q9CPZ8	Cmc1	NA	0.813471	NA
Q9CQ02	Commd4	+	0.0294591	0.37902
Q9CQ06	Mrpl24	NA	0.813312	0.200293
Q9CQ10	Chmp3	NA	0.719684	0.140005
Q9CQ18	Rnaseh2c	NA	0.174324	0.295874
Q9CQ26	Stambp	NA	0.550298	0.239833
Q9CQ40	Mrpl49	NA	0.813154	NA
Q9CQ43	Dut	+	0.00656311	-1.26102
Q9CQ45	Nenf	+	0.0943495	-0.505514
Q9CQ48	Nudcd2	NA	0.812995	-0.52858
Q9CQ49	Ncbp2	NA	0.285301	0.221127
Q9CQ54	Ndufc2	+	0.0532249	0.624015
Q9CQ60	Pgls	NA	0.635276	-0.135169
Q9CQ62	Decr1	+	0.00421818	1.03129
Q9CQ65	Mtap	NA	0.527576	-0.124697
Q9CQ69	Uqcrq	NA	0.682089	-0.126317
Q9CQ71	Rpa3	NA	0.322394	0.201127
Q9CQ75	Ndufa2	+	0.0657019	0.456846
Q9CQ79	Txndc9	+	0.003625	-1.39439
Q9CQ80	Vps25	NA	0.114757	0.310015
Q9CQ82	Itgb3bp	NA	0.812836	NA
Q9CQ91	Ndufa3	NA	0.812519	NA
Q9CQA1	Trappc5	NA	0.812361	-0.857805
Q9CQA3	Sdhb	+	0.0120155	0.674229
Q9CQA5	Med4	NA	0.812203	0.460331
Q9CQA9	Ntpcr	+	0.0219895	0.576623
Q9CQB4	Uqcrb	+	0.0758171	0.37416
Q9CQB5	Cisd2	NA	0.206979	0.253898
Q9CQC7	Ndufb4	NA	0.24571	0.305964
Q9CQC8	Spg21	NA	0.597882	0.171101
Q9CQC9	Sar1b	NA	0.404492	-0.256727
Q9CQD1	Rab5a	NA	1	0
Q9CQE1	Nipsnap3b	+	0.0474197	0.66987
Q9CQE3	Mrps17	NA	0.606406	0.189443
Q9CQE6	Asf1a	NA	0.120978	-0.27722
Q9CQF0	Mrpl11	NA	0.753569	0.0873801
Q9CQF3	Nudt21	+	0.0542842	0.465389
Q9CQF6	Aasdhppt	NA	0.811728	NA
Q9CQF7	Pfdn1	NA	0.628362	-0.0754636
Q9CQF8	Mrpl57	NA	0.81157	NA
Q9CQF9	Pcyox1	+	0.0496263	0.458955
Q9CQG1	Chac2	NA	0.811412	NA
Q9CQH3	Ndufb5	+	0.0482762	0.397143
Q9CQH7	Btf3l4	+	0.0183308	-0.625353
Q9CQH8	Rpp14	NA	1	0
Q9CQI3	Gmfb	NA	0.136518	-0.398093
Q9CQI6	Cotl1	NA	0.91005	0.06873
Q9CQI7	Snrpb2	NA	0.837116	-0.0907968
Q9CQI9	Med30	NA	0.100653	-0.350037
Q9CQJ2	Pih1d1	+	0.0948824	-0.349354
Q9CQJ4	Rnf2	+	0.0863606	-0.470261
Q9CQJ6	Denr	NA	0.811254	NA
Q9CQJ8	Ndufb9	NA	0.254539	0.299503
Q9CQK7	Rwdd1	NA	0.811096	-0.278898
Q9CQL4	Mrpl20	+	0.0202299	-0.433261
Q9CQL5	Mrpl18	NA	1	-0.00194359
Q9CQL7	Mrfap1	NA	0.154898	-0.73105
Q9CQM2	Kdelr2	NA	0.810938	0.330271
Q9CQM5	Txndc17	+	0.00839779	0.78002
Q9CQM9	Glrx3	NA	0.232101	-0.19442
Q9CQN1	Trap1	NA	0.277929	0.177193
Q9CQN7	Mrpl41	NA	0.810781	NA
Q9CQP0	Mrpl33	NA	0.810623	-0.167783
Q9CQQ8	Lsm7	NA	0.810465	NA
Q9CQR2	Rps21	+	0.0138427	-0.622293
Q9CQR4	Acot13	+	0.00446154	1.26052
Q9CQR6	Ppp6c	NA	0.230785	0.172923
Q9CQS2	Nop10	NA	0.469179	0.129882
Q9CQS4	Slc25a46	+	0.0171976	0.557631
Q9CQS5	Riok2	NA	0.810308	NA
Q9CQS8	Sec61b	NA	0.81015	-0.704323
Q9CQS9	Haus2	NA	0.809993	-0.204725
Q9CQT1	Mri1	NA	0.707638	0.0962969
Q9CQT2	Rbm7	NA	0.990972	-0.0329431
Q9CQT5	Pomp	NA	0.809835	-1.22522
Q9CQU0	Txndc12	NA	0.40259	0.341064
Q9CQU3	Rer1	NA	0.809678	NA
Q9CQU5	Zwint	NA	0.809521	-0.427676
